SKU,Товарная группа,Дата продажи,Объём продажи
Alpha Lamp,Alpha,2022-01-15,198
Beta Speaker,Beta,2022-01-15,77
Gamma Cable,Gamma,2022-01-15,14
Delta Plug,Delta,2022-01-15,118
Epsilon Dock,Epsilon,2022-01-15,15
Zeta Charger,Zeta,2022-01-15,22
Sigma Case,Sigma,2022-01-15,88
Theta Stand,Theta,2022-01-15,74
Lambda Mount,Lambda,2022-01-15,40
Vega Panel,Vega,2022-01-15,35
Alpha Lamp,Alpha,2022-02-15,193
Beta Speaker,Beta,2022-02-15,96
Gamma Cable,Gamma,2022-02-15,16
Delta Plug,Delta,2022-02-15,103
Epsilon Dock,Epsilon,2022-02-15,5
Zeta Charger,Zeta,2022-02-15,30
Sigma Case,Sigma,2022-02-15,76
Theta Stand,Theta,2022-02-15,39
Lambda Mount,Lambda,2022-02-15,54
Vega Panel,Vega,2022-02-15,36
Alpha Lamp,Alpha,2022-03-15,189
Beta Speaker,Beta,2022-03-15,79
Gamma Cable,Gamma,2022-03-15,9
Delta Plug,Delta,2022-03-15,123
Epsilon Dock,Epsilon,2022-03-15,77
Zeta Charger,Zeta,2022-03-15,46
Sigma Case,Sigma,2022-03-15,69
Theta Stand,Theta,2022-03-15,41
Lambda Mount,Lambda,2022-03-15,43
Vega Panel,Vega,2022-03-15,52
Alpha Lamp,Alpha,2022-04-15,179
Beta Speaker,Beta,2022-04-15,71
Gamma Cable,Gamma,2022-04-15,6
Delta Plug,Delta,2022-04-15,117
Epsilon Dock,Epsilon,2022-04-15,109
Zeta Charger,Zeta,2022-04-15,30
Sigma Case,Sigma,2022-04-15,68
Theta Stand,Theta,2022-04-15,65
Lambda Mount,Lambda,2022-04-15,24
Vega Panel,Vega,2022-04-15,57
Alpha Lamp,Alpha,2022-05-15,178
Beta Speaker,Beta,2022-05-15,60
Gamma Cable,Gamma,2022-05-15,12
Delta Plug,Delta,2022-05-15,124
Epsilon Dock,Epsilon,2022-05-15,90
Zeta Charger,Zeta,2022-05-15,7
Sigma Case,Sigma,2022-05-15,86
Theta Stand,Theta,2022-05-15,107
Lambda Mount,Lambda,2022-05-15,32
Vega Panel,Vega,2022-05-15,69
Alpha Lamp,Alpha,2022-06-15,159
Beta Speaker,Beta,2022-06-15,98
Gamma Cable,Gamma,2022-06-15,15
Delta Plug,Delta,2022-06-15,137
Epsilon Dock,Epsilon,2022-06-15,72
Zeta Charger,Zeta,2022-06-15,8
Sigma Case,Sigma,2022-06-15,105
Theta Stand,Theta,2022-06-15,84
Lambda Mount,Lambda,2022-06-15,41
Vega Panel,Vega,2022-06-15,53
Alpha Lamp,Alpha,2022-07-15,184
Beta Speaker,Beta,2022-07-15,123
Gamma Cable,Gamma,2022-07-15,21
Delta Plug,Delta,2022-07-15,133
Epsilon Dock,Epsilon,2022-07-15,21
Zeta Charger,Zeta,2022-07-15,20
Sigma Case,Sigma,2022-07-15,95
Theta Stand,Theta,2022-07-15,85
Lambda Mount,Lambda,2022-07-15,50
Kappa Hub,Kappa,2022-07-15,59
Vega Panel,Vega,2022-07-15,17
Alpha Lamp,Alpha,2022-08-15,185
Beta Speaker,Beta,2022-08-15,126
Gamma Cable,Gamma,2022-08-15,12
Delta Plug,Delta,2022-08-15,119
Epsilon Dock,Epsilon,2022-08-15,27
Zeta Charger,Zeta,2022-08-15,45
Sigma Case,Sigma,2022-08-15,101
Theta Stand,Theta,2022-08-15,71
Lambda Mount,Lambda,2022-08-15,55
Kappa Hub,Kappa,2022-08-15,81
Vega Panel,Vega,2022-08-15,25
Alpha Lamp,Alpha,2022-09-15,187
Beta Speaker,Beta,2022-09-15,89
Gamma Cable,Gamma,2022-09-15,17
Delta Plug,Delta,2022-09-15,116
Epsilon Dock,Epsilon,2022-09-15,86
Zeta Charger,Zeta,2022-09-15,52
Sigma Case,Sigma,2022-09-15,69
Theta Stand,Theta,2022-09-15,66
Lambda Mount,Lambda,2022-09-15,40
Kappa Hub,Kappa,2022-09-15,135
Vega Panel,Vega,2022-09-15,38
Alpha Lamp,Alpha,2022-10-15,163
Beta Speaker,Beta,2022-10-15,81
Gamma Cable,Gamma,2022-10-15,13
Delta Plug,Delta,2022-10-15,125
Epsilon Dock,Epsilon,2022-10-15,114
Zeta Charger,Zeta,2022-10-15,37
Sigma Case,Sigma,2022-10-15,76
Theta Stand,Theta,2022-10-15,91
Lambda Mount,Lambda,2022-10-15,36
Kappa Hub,Kappa,2022-10-15,108
Vega Panel,Vega,2022-10-15,55
Alpha Lamp,Alpha,2022-11-15,141
Beta Speaker,Beta,2022-11-15,96
Gamma Cable,Gamma,2022-11-15,17
Delta Plug,Delta,2022-11-15,139
Epsilon Dock,Epsilon,2022-11-15,92
Zeta Charger,Zeta,2022-11-15,9
Sigma Case,Sigma,2022-11-15,92
Theta Stand,Theta,2022-11-15,111
Lambda Mount,Lambda,2022-11-15,37
Kappa Hub,Kappa,2022-11-15,96
Vega Panel,Vega,2022-11-15,67
Alpha Lamp,Alpha,2022-12-15,153
Beta Speaker,Beta,2022-12-15,105
Gamma Cable,Gamma,2022-12-15,27
Delta Plug,Delta,2022-12-15,141
Epsilon Dock,Epsilon,2022-12-15,56
Zeta Charger,Zeta,2022-12-15,16
Sigma Case,Sigma,2022-12-15,107
Theta Stand,Theta,2022-12-15,102
Lambda Mount,Lambda,2022-12-15,46
Kappa Hub,Kappa,2022-12-15,88
Vega Panel,Vega,2022-12-15,48
Alpha Lamp,Alpha,2023-01-15,164
Beta Speaker,Beta,2023-01-15,127
Gamma Cable,Gamma,2023-01-15,20
Delta Plug,Delta,2023-01-15,124
Epsilon Dock,Epsilon,2023-01-15,50
Zeta Charger,Zeta,2023-01-15,36
Sigma Case,Sigma,2023-01-15,107
Theta Stand,Theta,2023-01-15,100
Lambda Mount,Lambda,2023-01-15,50
Kappa Hub,Kappa,2023-01-15,72
Nova Keyboard,Nova,2023-01-15,112
Vega Panel,Vega,2023-01-15,32
Alpha Lamp,Alpha,2023-02-15,170
Beta Speaker,Beta,2023-02-15,145
Gamma Cable,Gamma,2023-02-15,23
Delta Plug,Delta,2023-02-15,125
Epsilon Dock,Epsilon,2023-02-15,57
Zeta Charger,Zeta,2023-02-15,36
Sigma Case,Sigma,2023-02-15,103
Theta Stand,Theta,2023-02-15,70
Lambda Mount,Lambda,2023-02-15,64
Kappa Hub,Kappa,2023-02-15,128
Nova Keyboard,Nova,2023-02-15,100
Vega Panel,Vega,2023-02-15,28
Alpha Lamp,Alpha,2023-03-15,163
Beta Speaker,Beta,2023-03-15,125
Gamma Cable,Gamma,2023-03-15,9
Delta Plug,Delta,2023-03-15,130
Epsilon Dock,Epsilon,2023-03-15,99
Zeta Charger,Zeta,2023-03-15,43
Sigma Case,Sigma,2023-03-15,102
Theta Stand,Theta,2023-03-15,80
Lambda Mount,Lambda,2023-03-15,51
Kappa Hub,Kappa,2023-03-15,132
Nova Keyboard,Nova,2023-03-15,83
Vega Panel,Vega,2023-03-15,41
Alpha Lamp,Alpha,2023-04-15,150
Beta Speaker,Beta,2023-04-15,102
Gamma Cable,Gamma,2023-04-15,9
Delta Plug,Delta,2023-04-15,130
Epsilon Dock,Epsilon,2023-04-15,115
Zeta Charger,Zeta,2023-04-15,28
Sigma Case,Sigma,2023-04-15,95
Theta Stand,Theta,2023-04-15,85
Lambda Mount,Lambda,2023-04-15,41
Kappa Hub,Kappa,2023-04-15,161
Nova Keyboard,Nova,2023-04-15,82
Vega Panel,Vega,2023-04-15,49
Alpha Lamp,Alpha,2023-05-15,138
Beta Speaker,Beta,2023-05-15,116
Gamma Cable,Gamma,2023-05-15,15
Delta Plug,Delta,2023-05-15,148
Epsilon Dock,Epsilon,2023-05-15,133
Zeta Charger,Zeta,2023-05-15,26
Sigma Case,Sigma,2023-05-15,97
Theta Stand,Theta,2023-05-15,124
Lambda Mount,Lambda,2023-05-15,43
Kappa Hub,Kappa,2023-05-15,138
Nova Keyboard,Nova,2023-05-15,100
Vega Panel,Vega,2023-05-15,47
Alpha Lamp,Alpha,2023-06-15,136
Beta Speaker,Beta,2023-06-15,142
Gamma Cable,Gamma,2023-06-15,22
Delta Plug,Delta,2023-06-15,139
Epsilon Dock,Epsilon,2023-06-15,59
Zeta Charger,Zeta,2023-06-15,18
Sigma Case,Sigma,2023-06-15,132
Theta Stand,Theta,2023-06-15,109
Lambda Mount,Lambda,2023-06-15,46
Kappa Hub,Kappa,2023-06-15,116
Nova Keyboard,Nova,2023-06-15,132
Vega Panel,Vega,2023-06-15,44
Alpha Lamp,Alpha,2023-07-15,162
Beta Speaker,Beta,2023-07-15,141
Gamma Cable,Gamma,2023-07-15,20
Delta Plug,Delta,2023-07-15,139
Epsilon Dock,Epsilon,2023-07-15,62
Zeta Charger,Zeta,2023-07-15,29
Sigma Case,Sigma,2023-07-15,124
Theta Stand,Theta,2023-07-15,105
Lambda Mount,Lambda,2023-07-15,68
Kappa Hub,Kappa,2023-07-15,102
Nova Keyboard,Nova,2023-07-15,145
Vega Panel,Vega,2023-07-15,18
Alpha Lamp,Alpha,2023-08-15,164
Beta Speaker,Beta,2023-08-15,162
Gamma Cable,Gamma,2023-08-15,24
Delta Plug,Delta,2023-08-15,128
Epsilon Dock,Epsilon,2023-08-15,56
Zeta Charger,Zeta,2023-08-15,53
Sigma Case,Sigma,2023-08-15,116
Theta Stand,Theta,2023-08-15,73
Lambda Mount,Lambda,2023-08-15,63
Kappa Hub,Kappa,2023-08-15,133
Nova Keyboard,Nova,2023-08-15,118
Vega Panel,Vega,2023-08-15,18
Alpha Lamp,Alpha,2023-09-15,150
Beta Speaker,Beta,2023-09-15,143
Gamma Cable,Gamma,2023-09-15,18
Delta Plug,Delta,2023-09-15,124
Epsilon Dock,Epsilon,2023-09-15,97
Zeta Charger,Zeta,2023-09-15,45
Sigma Case,Sigma,2023-09-15,88
Theta Stand,Theta,2023-09-15,74
Lambda Mount,Lambda,2023-09-15,48
Kappa Hub,Kappa,2023-09-15,163
Nova Keyboard,Nova,2023-09-15,99
Vega Panel,Vega,2023-09-15,26
Alpha Lamp,Alpha,2023-10-15,142
Beta Speaker,Beta,2023-10-15,111
Gamma Cable,Gamma,2023-10-15,18
Delta Plug,Delta,2023-10-15,134
Epsilon Dock,Epsilon,2023-10-15,109
Zeta Charger,Zeta,2023-10-15,41
Sigma Case,Sigma,2023-10-15,96
Theta Stand,Theta,2023-10-15,112
Lambda Mount,Lambda,2023-10-15,42
Kappa Hub,Kappa,2023-10-15,189
Nova Keyboard,Nova,2023-10-15,130
Vega Panel,Vega,2023-10-15,49
Alpha Lamp,Alpha,2023-11-15,129
Beta Speaker,Beta,2023-11-15,138
Gamma Cable,Gamma,2023-11-15,20
Delta Plug,Delta,2023-11-15,142
Epsilon Dock,Epsilon,2023-11-15,99
Zeta Charger,Zeta,2023-11-15,16
Sigma Case,Sigma,2023-11-15,129
